category,file,type,purpose,status
01_setup_configuration,01_setup_configuration/validate_environment.py,PY,"Validate configuration, connector reachability, and optional ArcGIS connectivity.",ARC-GIS-CONFIGURED
01_setup_configuration,01_setup_configuration/discover_itsm_schema.py,PY,Display canonical fields plus a small sample of raw vendor records.,DEMO-RUNNABLE
01_setup_configuration,01_setup_configuration/discover_arcgis_schema.py,PY,"Inventory fields/capabilities for configured ArcGIS operational, asset, and unit layers.",ARC-GIS-CONFIGURED
01_setup_configuration,01_setup_configuration/build_location_crosswalk.py,PY,Create a starter ITSM-location-to-Indoors-unit crosswalk for review.,ARC-GIS-CONFIGURED
02_sync_automation,02_sync_automation/incremental_ticket_sync.py,PY,Pull recently updated ITSM tickets and upsert an ArcGIS operational layer.,ARC-GIS-CONFIGURED
02_sync_automation,02_sync_automation/sync_assets_to_operational_layer.py,PY,Demonstrate asset-to-ArcGIS attribute synchronization with safe dry-run behavior.,ARC-GIS-CONFIGURED
02_sync_automation,02_sync_automation/scheduled_pull.py,PY,A minimal polling-loop example suitable for Task Scheduler wrapper usage.  Production deployments should normally let an external scheduler invoke a single iteration rather than keeping an endless notebook/kernel process alive.,DEMO-RUNNABLE
02_sync_automation,02_sync_automation/writeback_map_context.py,PY,Demonstrate writing a map/place reference back to the ITSM ticket.,DEMO-RUNNABLE
03_testing_maintenance,03_testing_maintenance/connector_smoke_test.py,PY,Exercise connector health/read paths without performing writes.,DEMO-RUNNABLE
03_testing_maintenance,03_testing_maintenance/reconcile_operational_layer.py,PY,Compare ITSM tickets with the ArcGIS operational layer and export drift.,ARC-GIS-CONFIGURED
03_testing_maintenance,03_testing_maintenance/find_orphaned_records.py,PY,Find ArcGIS operational records whose source ITSM ID is absent from the extract.,ARC-GIS-CONFIGURED
03_testing_maintenance,03_testing_maintenance/repair_safe_drift.py,PY,Illustrate conservative auto-repair: only issues explicitly marked safe are eligible.,DEMO-RUNNABLE
03_testing_maintenance,03_testing_maintenance/replay_failed_records.py,PY,"Skeleton for replaying a reviewed dead-letter/error export.  A production queue should keep event IDs, attempts, timestamps, error classes, source record IDs, and payload hashes. This demo only documents the replay seam.",PSEUDOCODE-HEAVY
04_monitoring,04_monitoring/health_check.py,PY,Run connector and ArcGIS health checks and save machine-readable status.,ARC-GIS-CONFIGURED
04_monitoring,04_monitoring/sync_lag_monitor.py,PY,Measure age of the newest visible ITSM update as a simple polling/sync-lag signal.,DEMO-RUNNABLE
04_monitoring,04_monitoring/unmatched_location_monitor.py,PY,Measure weak/missing location references against a known-location text file.,DEMO-RUNNABLE
04_monitoring,04_monitoring/api_error_rate_monitor.py,PY,Template for turning structured integration logs into an API failure-rate metric.,PSEUDOCODE-HEAVY
04_monitoring,04_monitoring/queue_depth_monitor.py,PY,Template queue/dead-letter monitoring routine.,PSEUDOCODE-HEAVY
05_notifications_alerts,05_notifications_alerts/alert_missing_assets.py,PY,"Email/preview an alert when assets are flagged missing, lost, or stolen.",DEMO-RUNNABLE
05_notifications_alerts,05_notifications_alerts/alert_stale_unassigned_tickets.py,PY,Escalate active tickets that remain unassigned beyond a configured interval.,DEMO-RUNNABLE
